run_name,seed,hidden_sizes,activation,dropout,use_bn,bn_position,lr,scheduler,step_size,gamma,tmax,weight_decay,l1_lambda,batch_size,epochs,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,best_epoch_so_far,lr_current,test_acc,test_per_class
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,1,0.29364927345514297,0.91745,0.10596499191820621,0.9688,0.9688,1,0.001,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,2,0.14759838214119275,0.9561333333333333,0.08438101569190622,0.9733,0.9733,2,0.001,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,3,0.12396895086169243,0.9630666666666666,0.07375407816171646,0.9767,0.9767,3,0.001,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,4,0.10689328104654948,0.96775,0.0620192439109087,0.9803,0.9803,4,0.001,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,5,0.09707830661932627,0.9708166666666667,0.0653887708708644,0.9802,0.9803,4,0.001,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,6,0.07222594743967056,0.97735,0.05209841577108018,0.9838,0.9838,6,0.0005,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,7,0.06362918592020869,0.9793666666666667,0.05147383660590276,0.9846,0.9846,7,0.0005,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,8,0.05817841450025638,0.9807166666666667,0.050899570399243386,0.984,0.9846,7,0.0005,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,9,0.05713785703678926,0.9822166666666666,0.04920801089326851,0.9841,0.9846,7,0.0005,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,10,0.05308814032624165,0.9837666666666667,0.04972623286054004,0.9853,0.9853,10,0.0005,,
B0_baseline,42,"512,256,128",relu,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,-1,,,,,,,,0.9853,"0.993878,0.991189,0.987403,0.985149,0.978615,0.983184,0.985386,0.980545,0.984600,0.982161"
