run_name,seed,hidden_sizes,activation,dropout,use_bn,bn_position,lr,scheduler,step_size,gamma,tmax,weight_decay,l1_lambda,batch_size,epochs,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc_so_far,best_epoch_so_far,lr_current,test_acc,test_per_class
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,1,0.3394545664946238,0.9024166666666666,0.19061169789731502,0.9421,0.9421,1,0.001,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,2,0.21427066197792688,0.9351833333333334,0.15540311475396157,0.9552,0.9552,2,0.001,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,3,0.18714316627979277,0.9440666666666667,0.13121172161400319,0.9617,0.9617,3,0.001,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,4,0.16729793287118275,0.9487,0.11589030738770961,0.964,0.964,4,0.001,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,5,0.15308805079261462,0.9531833333333334,0.10388346027135849,0.9687,0.9687,5,0.001,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,6,0.12339875553548336,0.9614833333333334,0.08698010227046907,0.9739,0.9739,6,0.0005,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,7,0.11564035049478213,0.9638833333333333,0.07913812660686671,0.9746,0.9746,7,0.0005,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,8,0.10989517034590245,0.9651666666666666,0.08076527552362532,0.9757,0.9757,8,0.0005,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,9,0.10518070179224014,0.96655,0.07272269473746419,0.9763,0.9763,9,0.0005,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,10,0.10071723307222127,0.9680166666666666,0.07899533599559218,0.9762,0.9763,9,0.0005,,
B3_act_tanh,42,"512,256,128",tanh,0.3,1,pre,0.001,step,5,0.5,10,0.0001,0.0,64,10,-1,,,,,,,,0.9763,"0.990816,0.993833,0.971899,0.982178,0.972505,0.974215,0.981211,0.965953,0.963039,0.965312"
